Protected Attribute,Baseline Exposure DI,Quota Exposure DI,Proposed NSGA-II Exposure DI,Baseline Selection DI,Quota Selection DI,Proposed NSGA-II Selection DI
gender,0.9476137591581375,0.9476137591581375,0.9476137591581375,0.953396547774832,0.953396547774832,0.953396547774832
age_group,0.9792586118311524,0.9792586118311524,0.9792586118311524,0.9623095429029671,0.9623095429029671,0.9623095429029671
location,0.8943953357295543,0.8943953357295543,0.8943953357295543,0.9005546977754904,0.9005546977754904,0.9005546977754904
