location,sample_count,actual_interaction_rate,predicted_positive_rate,average_prediction_score,accuracy,precision,recall,f1
Ahmedabad,1742,0.5126291618828932,0.5700344431687715,0.5234137,0.7083811710677382,0.6938569989929506,0.7715565509518477,0.7306468716861082
Bengaluru,4972,0.5247385358004827,0.5543041029766693,0.5194873,0.7117860016090105,0.7133526850507983,0.7535454197010348,0.7328984156570364
Chennai,2557,0.5060617911615174,0.5549472037543997,0.5128585,0.6992569417285882,0.6849894291754757,0.7511591962905718,0.7165499447106524
Delhi,3771,0.5330151153540175,0.5767700875099443,0.5252892,0.7122779103686024,0.7126436781609196,0.7711442786069652,0.7407407407407407
Hyderabad,3159,0.5257993035770814,0.5723330167774612,0.5231868,0.7078189300411523,0.7040929203539823,0.7664057796508128,0.7339290861919862
Kolkata,1946,0.5195272353545735,0.5889003083247688,0.5275493,0.7045220966084276,0.6902268760907504,0.7823936696340257,0.7334260547056096
Mumbai,5319,0.5346869712351946,0.5732280503854108,0.5238773,0.7110359090054521,0.7143325680551,0.7658227848101266,0.7391820804344137
Other,3665,0.49931787175989084,0.5443383356070941,0.5147319,0.703956343792633,0.6867167919799498,0.7486338797814208,0.7163398692810458
Pune,2869,0.5071453468107354,0.5521087486929244,0.5141631,0.6971070059254095,0.6849747474747475,0.7457044673539519,0.7140506745640013
