metric,value
Accuracy,0.618
Precision,0.6207398776580251
Recall,0.6827939762896508
F1,0.6502898992981385
ROC-AUC,0.6576963702841478
NDCG@5,0.9999999999999999
NDCG@10,0.8521705090845473
