protected_attribute,score_based_DI,score_based_SPD,selection_rate_DI,selection_rate_SPD,exposure_DI,exposure_SPD,relevance_aware_exposure_DI
gender,0.9916668,-0.0043511987,0.953396547774832,-0.042147575791387504,0.9476137591581375,-0.022587941201948236,0.9555767909102666
age_group,0.96888113,-0.01652348,0.9623095429029671,-0.033571428571428585,0.9792586118311524,-0.008793505723327544,0.9676018131389607
location,0.958305,-0.022157788,0.9005546977754904,-0.09181072193562012,0.8943953357295543,-0.046499233289928665,0.873123488989536
