Protected Attribute,Baseline SPD,Fairness-aware SPD,Pareto-selected SPD
Gender,-0.0073253283708013,-0.004559970573872,-0.0017953991904837
Age Group,-0.0104750084462018,-0.0067282999051119,-0.0065500886986183
Location,-0.0201198316365391,-0.0151299995256783,-0.0101390086327531
