Protected Attribute,Baseline Exposure DI,Proposed Exposure DI,Absolute Gain,Percentage Improvement
gender,0.9476137591581375,0.9476137591581375,0.0,+0.00%
age_group,0.9792586118311524,0.9792586118311524,0.0,+0.00%
location,0.8943953357295543,0.8943953357295543,0.0,+0.00%
