attribute,baseline_SPD,fairness_SPD,baseline_DI,fairness_DI
gender,-0.0073252916,-0.00455997057387203,0.9866945,0.9916941572394823
age_group,-0.01047498,-0.006728299905111923,0.9810766,0.9878007726111109
location,-0.020119786,-0.015129999525678395,0.96383524,0.9727254493297706
