age_group,sample_count,actual_interaction_rate,predicted_positive_rate,average_prediction_score,accuracy,precision,recall,f1
18-25,8402,0.5203522970721257,0.5704594144251369,0.52214015,0.7061413949059747,0.6985186730648862,0.7657822506861848,0.7306055646481179
26-35,10230,0.5204301075268817,0.5586510263929618,0.5190523,0.7089931573802541,0.705336832895888,0.757137490608565,0.7303197753419693
36-45,5720,0.5164335664335664,0.5615384615384615,0.5199903,0.7013986013986014,0.6939601494396015,0.7545700744752878,0.7229970807654882
46-55,3769,0.5340939241178031,0.5725656672857522,0.52467525,0.7137171663571239,0.7164040778498609,0.7680079483358172,0.7413090385998562
56+,1879,0.5023948908994146,0.5572112825971262,0.51390994,0.7067589143161256,0.6876790830945558,0.7627118644067796,0.7232546459065796
