fairness_strength,precision_at_10,recall_at_10,ndcg_at_10,gender_spd,gender_di,age_group_spd,age_group_di,location_spd,location_di,fairness_gap,ndcg_normalized,balanced_score
0.0,0.5544996031746032,1.0,0.906167344002693,-0.007325328370801354,0.9866944771864582,-0.010475008446201861,0.981076554557265,-0.020119831636539187,0.9638351356448023,0.06839383261147458,1.0,0.9316061673885254
0.1,0.5544996031746032,1.0,0.906167344002693,-0.006772207616398962,0.987692261880291,-0.009325071331912294,0.983141701417504,-0.019121961372813745,0.965608917565215,0.06355711913698991,1.0,0.9364428808630101
0.2,0.5544996031746032,1.0,0.906167344002693,-0.0062190593631284985,0.9886912152027725,-0.00817495509969779,0.9852101784960292,-0.01812407329970256,0.9673847821391424,0.05871382416205595,1.0,0.941286175837944
0.3,0.5544996031746032,1.0,0.906167344002693,-0.005665972511882722,0.9896911764688915,-0.00721218748947039,0.9869424770739478,-0.0171260702246,0.9691629037760953,0.05420344268106547,1.0,0.9457965573189345
0.4,0.5544996031746032,1.0,0.906167344002693,-0.005112955548515541,0.9906921340773893,-0.006970285877646254,0.9873712356124927,-0.016128060268775002,0.9709431000308469,0.050993530279271004,1.0,0.949006469720729
0.5,0.5544996031746032,1.0,0.906167344002693,-0.00455997057387203,0.9916941572394823,-0.006728299905111923,0.9878007726111109,-0.015129999525678395,0.9727254493297706,0.04777962081963627,1.0,0.9522203791803637
0.6,0.5544996031746032,1.0,0.906167344002693,-0.004006956734350031,0.9926973578811739,-0.006486258536571143,0.988231036805034,-0.014131917683245176,0.9745099026507231,0.044561702663069025,1.0,0.955438297336931
0.7,0.5544996031746032,1.0,0.906167344002693,-0.003454041605802316,0.9937015059094917,-0.006244200139687184,0.9886619597856721,-0.013133732336243709,0.9762966108870584,0.04133992341777781,1.0,0.9586600765822222
0.8,0.5544996031746032,1.0,0.906167344002693,-0.002901124720632642,0.9947067853971688,-0.006002090681173078,0.9890936060286457,-0.012135525765149535,0.9780854309518511,0.03811417762233438,1.0,0.9618858223776656
0.9,0.5544996031746032,1.0,0.906167344002693,-0.0023482142856726673,0.995713184064959,-0.005759926722621267,0.989525982981162,-0.01113733864292843,0.9798762960712044,0.034884536882674566,1.0,0.9651154631173254
1.0,0.5544996031746032,1.0,0.906167344002693,-0.0017953991904837707,0.9967205405552709,-0.006550088698618395,0.9881027576484344,-0.010139008632753188,0.9816694979932803,0.03350720380301442,1.0,0.9664927961969856
