Metric,Baseline XGBoost,Fairness-aware (0.5),Pareto-selected (1.0)
Precision@10,0.5544996031746032,0.5544996031746032,0.5544996031746032
Recall@10,1.0,1.0,1.0
NDCG@10,0.906167344002693,0.906167344002693,0.906167344002693
