intersection_type,total_subgroups,statistically_unstable_subgroups (< 30),worst_exposure_DI (stable),worst_selection_DI (stable),max_fairness_gap,mean_exposure_DI
Gender x Age Group,10,0,0.8789650814023049,0.891031746031746,0.12103491859769511,0.9433184522439829
Gender x Location,18,0,0.7721585713176607,0.7912280701754385,0.22784142868233925,0.9361759196341181
Age Group x Location,45,5,0.49755234172784696,0.725,0.5024476582721531,0.6354982737752246
Gender x Age x Location (3-Way),87,33,0.42643914755737955,0.6666666666666666,0.5735608524426205,0.6123695953520112
