gender,sample_count,actual_interaction_rate,predicted_positive_rate,average_prediction_score,accuracy,precision,recall,f1
Female,13267,0.5220471847441019,0.5701364287329465,0.5232104,0.7061882867264642,0.7001586462189318,0.7646549234767542,0.7309868875086266
Male,16733,0.5187951951234089,0.5594334548496982,0.5183158,0.7080021514372796,0.7027027027027027,0.7577468033636677,0.7291874515020508
